identifier,brand,platform,category,title,url,image,rating,reviews
B07TFBK9Y3,Frida,Amazon,,"Frida Mom Postpartum Recovery Essentials Kit Includes Disposable Underwear, Ice Maxi Absorbency Pads, Cooling Witch Hazel Medicated Pad Liners, Perineal Medicated Healing Foam",https://www.amazon.com/dp/B07TFBK9Y3,https://m.media-amazon.com/images/I/71zlvl1ZT8L._AC_UL320_.jpg,4.8,5955
B09ZJNT86H,Frida,Amazon,,Essentials Kit + Gray Upside Down Peri Bottle,https://www.amazon.com/dp/B09ZJNT86H,https://m.media-amazon.com/images/I/61jW0KSYakL._AC_SX352_SY330_.jpg,4.8,5955
B01644OCVS,Frida,Amazon,,"NailFrida The SnipperClipper Set by Fridababy The Baby Essential Nail Care Kit for Newborns and Up, Pack of 1",https://www.amazon.com/dp/B01644OCVS,https://m.media-amazon.com/images/I/51t-w1N2NbL._AC_UL320_.jpg,4.5,5883
B08Q2TX35L,Frida,Amazon,,Not-Too-Cold-to-Hold BPA-Free Silicone Teether for Babies by Frida Baby,https://www.amazon.com/dp/B08Q2TX35L,https://m.media-amazon.com/images/I/71mFlnayRML._AC_UL320_.jpg,4.7,5656
B07THDSJKT,Frida,Amazon,,"FridaBaby Mom Perineal Medicated Witch Hazel Healing Foam for Postpartum Care, Relieves Pain and Reduces Swelling, White, 5 Fl Oz",https://www.amazon.com/dp/B07THDSJKT,https://m.media-amazon.com/images/I/71BJlnKlTXL._AC_UL320_.jpg,4.7,4994
B07KLGSQ5Q,Frida,Amazon,,Frida Baby Vapor Bath Bombs,https://www.amazon.com/dp/B07KLGSQ5Q,https://m.media-amazon.com/images/I/61tEgQKHJxL._AC_SX352_SY330_.jpg,4.5,4978
B084D3VKS2,Frida,Amazon,,FridaBaby Vapor Bath Bombs,https://www.amazon.com/dp/B084D3VKS2,https://m.media-amazon.com/images/I/711dm0rjhwL._AC_UL320_.jpg,4.5,4978
B07LFJRQNQ,Frida,Amazon,,"FridaBaby Cool Pads for Kids Fever discomfort by fridababy, 5 Count",https://www.amazon.com/dp/B07LFJRQNQ,https://m.media-amazon.com/images/I/61iK4q9TUrL._AC_UL320_.jpg,4.6,4487
B099FK72PW,Frida,Amazon,,Control The Flow Rinser by Frida Baby Bath Time Rinse Cup with Easy Grip Handle and Removable Rain Shower,https://www.amazon.com/dp/B099FK72PW,https://m.media-amazon.com/images/I/619OKomEJPL._AC_UL320_.jpg,4.7,4406
B07TW86LR8,Frida,Amazon,,"Frida Mom Hospital Packing Kit for Labor, Delivery, & Postpartum | Nursing Gown, Socks, Peri Bottle, Disposable Underwear, Ice Maxi Pads, Pad Liners, Perineal Foam, Toiletry Bag, 15 Piece Set",https://www.amazon.com/dp/B07TW86LR8,https://m.media-amazon.com/images/I/61Xit8LRBmS._AC_UL320_.jpg,4.8,4253
B07CPZNQ4P,Frida,Amazon,,NailFrida The SnipperClipper by Fridababy The Baby Nail Clipper with Safety spyhole for Newborns and up,https://www.amazon.com/dp/B07CPZNQ4P,https://m.media-amazon.com/images/I/61W3bIj713L._AC_UL320_.jpg,4.5,3920
B0823DZYQY,Frida,Amazon,,FridaBaby Paci Weaning System,https://www.amazon.com/dp/B0823DZYQY,https://m.media-amazon.com/images/I/71GQ+0racZL._AC_UL320_.jpg,4.1,3907
B07L52JPXT,Frida,Amazon,,"Breathe Easy Kit Sick Day Essentials by FridaBaby - Natural Vapor Wipes, Organic Vapor Rub + Organic Vapor Drops, White",https://www.amazon.com/dp/B07L52JPXT,https://m.media-amazon.com/images/I/51UeeVHf+WL._AC_UL320_.jpg,4.8,3379
B08BSMWMH1,Frida,Amazon,,"FridaBaby Natural Sleep Vapor Bath Drops for Bedtime Wind Down by Frida Baby, White",https://www.amazon.com/dp/B08BSMWMH1,https://m.media-amazon.com/images/I/71PBog6bMVL._AC_UL320_.jpg,4.7,3358
B089ZXQHXS,Frida,Amazon,,"FridaBaby Infant Head-Hugging Hairbrush + Styling Comb Set, from The Makers of NoseFrida",https://www.amazon.com/dp/B089ZXQHXS,https://m.media-amazon.com/images/I/71z1RYYpgxL._AC_UL320_.jpg,4.8,3335
B076CCVR29,Frida,Amazon,,Breathefrida Vapor Wipes for Nose or Chest by Frida Baby 30 Count (Pack of 1),https://www.amazon.com/dp/B076CCVR29,https://m.media-amazon.com/images/I/715pzC7uK8L._AC_UL320_.jpg,4.8,3078
B07BYLG8R8,Frida,Amazon,,"Baby Basics Kit by Frida Baby |Includes NoseFrida, NailFrida, Windi, DermaFrida + Silicone Carry Case",https://www.amazon.com/dp/B07BYLG8R8,https://m.media-amazon.com/images/I/716sf4-1leL._AC_UL320_.jpg,4.8,2971
B07TFBLWCT,Frida,Amazon,,"Frida Mom Delivery and Nursing Gown | Easy-Snap, Tagless, Skin-to-Skin Access for Nursing and Full Coverage in The Back",https://www.amazon.com/dp/B07TFBLWCT,https://m.media-amazon.com/images/I/61fquQPe0+S._AC_SX352_SY330_.jpg,4.7,2860
B099FHF4MJ,Frida,Amazon,,Oh Cr*p! Cradle Cap Flake Fixer Scalp Spray for Dry Scalps by Frida Baby,https://www.amazon.com/dp/B099FHF4MJ,https://m.media-amazon.com/images/I/61IWUU3PAVL._AC_SX352_SY330_.jpg,4.6,2789
B099FLWJCT,Frida,Amazon,,"Oh Cr*p! Cradle Cap Flake Fixer Scalp Spray + Scalp Mask Duo by Frida Baby Soothes Baby's Scalp, Prevents Dryness and Flakes",https://www.amazon.com/dp/B099FLWJCT,https://m.media-amazon.com/images/I/61O94mTAReL._AC_UL320_.jpg,4.6,2789
